Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AU-5.1","Does the information system generate an alert that notifies the team in the event of an audit processing failure?","Partial","Most logging actions are transactional and are save to the database. Any failure to complete the "write" will generate an error to the user. Other types of "write" failures will create event log type events that administrators can subscribe to. Otherwise there is no explicit notification of audit processing failure.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AU-7.1","Does the information system provide the capability to generate customizable audit reports?","Yes","All audit information is strored in SQL such that custom reports built on MS Reporting Services can be used to customize content and views",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AU-7.2","Does the generation of an audit report alter the original content or time stamp of the audit record?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AU-8.1","Are the audit logs time stamped? (Date and Time)","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AU-9.1","Does the system/application protect audit information from unauthorized access, modification, and deletion?","Yes","Via SQL db authentication and inherent SQL data integrity",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","AU-12.1","Can the information system be configured to select which auditable events are captured in the audit log? ","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-1.1","Are there documented procedures to outline who/when and how the system/application is configured? If yes, please attach","Yes","User and Admin guides",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-2.1","Do you have a current configuration baseline documented for the information system? (The baseline configuration is a documented, up-to-date specification to which the information system is built.)","Yes","Installation guides are internal documents that are meant for� PeriGen Tech Ops personnel","LAB01124_r12 PeriWatch Surveillance - System Requirements.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-3.1","Are types of changes to the information system that are configuration-controlled defined?","No","Changes are under the control of the customer. There are no specific change controls of on-prem system following installation and customer acceptance.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-3.2","Does the organization review proposed configuration-controlled changes to the information system, using defined security impact analyses?","Yes","Once the application is installe dand configured to customer needs and workflow, it is rarly changed. When it does, change control process is followed involving both PeriGen and customer representative(s) ",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-3.3","Are all configuration changes adequately documented?","Partial","Material changes are documented (ex: Adding a module or an interface), other minor changes are not (ex: adding picklist options or workstations)",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-3.4","Are all approved configuration controls implemented timely?","Yes","Per change control process involving both parties",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-3.5","Does the organization retain records of configuration controlled changes?","Partial","Material changes are documented (ex: Adding a module or an interface), other minor changes are not (ex: adding picklist options or workstations)",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-3.6","Are there auditing and monitoring activities implemented to assess the configuration-controlled changes?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-4.1","Do you analyze changes to the information system to determine potential security impacts prior to change implementation?","Yes","Security considerations are covered during development time. Configuration changes at the customer environment are jointly reviewed and any security concerns depend largely on tthe customer provided environment. Any such concerns are ttypically brought up from the customer side for joint discussion during change control review",""
