Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-1.1","Are there formally documented policies and procedures for Personnel Security? If yes, please attach.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-2.1","Does the organization assign risk designations to all positions?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-2.2","Does the organization establish screening criteria for individuals filling those positions?","Yes","All employees are screened during job interviews",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-2.3","Does the organization review and revise position risk designations at least every three years?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-3.1","Does the organization screen individuals prior to authorizing access to the information system?","Yes","See the attached templates used by PeriGen to screen new employees.","PeriGen Background Check Application Multi-state.pdf; PeriGen Drug Testing Policy - Final 5.1.2020.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-3.2","Does the organization re-screen individuals with access to the information system?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-4.1","Does the organization have appropriate termination procedures in place to those with access to the information system?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-5.1","Does the organization have appropriate transfer procedures in place to those with access to the information system?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-6.1","Does the organization have access agreements (reviewed annually) for individuals with access to the information system?","Partial","Access control is granted per unique user account/role (example: technical support analyst). Each employee signs an employment agreement that explicitly covers controls of access to customer data. In addition, HIPAA, Security & Privacy guidelines are revised and signed-off annually by all employees. That said, there are no explicity "access agreements" for individual employees.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-7.1","Does the organization have appropriate third-party access control procedures for external parties granted access to the information system?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","PS-8.1","Does the organization have appropriate personnel sanctions policies and procedures?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-1.1","Are there formally documented policies and procedures for System and Services Acquisitions? If yes, please attach.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-3.1","Does the organization define a comprehensive life cycle for the information system?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-4.1","Does the organization include the requirements, descriptions, and criteria, explicitly or by reference, in the acquisition contract for the information system, system component, or information system service in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, guidelines, and organizational mission/business needs","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-5.1","Do you have administrator documentation for this information system that describes:
1. Secure configuration, installation, and operation of the system, component, or service;
2. Effective use and maintenance of security functions/mechanisms; and
3. Known vulnerabilities regarding configuration and use of administrative (i.e., privileged) functions;","Partial","These topics are embedded in comprehensive installation guides. PeriGen works with its customer to address any security or effectiveness considerations which can be different from one customer to another.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-5.2","Do you have user documentation for this information system that describes:
1. User-accessible security functions/mechanisms and how to effectively use those security functions/mechanisms;
2. Methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner; and
3. User responsibilities in maintaining the security of the system, component, or service;","Yes","Product user-guides",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-5.4","Is the documentation protected as required and only distributed to authorized personnel?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-8.1","Does the organization apply information system security engineering principles in the specification, design, development, implementation, and modification of the information system.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-10.1","Does the organization require the developer of the information system, system component or information system service to perform configuration, document the changes and implement only organization-approved configuration changes?","Yes","All development activities follow ISO audited and FDA mandated SDLC, QMS (Quality Management System) procedures",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SA-11.1","Does the organization require the developer of the information system, system component, or information system service to create and implement a security assessment plan, perform tests/evaluations and produce evidence of the execution of the security assessment plan?","Partial","Security requirements are global and are tested individually. Processes are being reviewed in 2019 to embed more secure development practices to current development practices.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-1.1","Do you have formally documented policies and procedures for System and Communications Protection? If yes, please attach.","No","There are no explicit policies for these tasks. Activities related to security are embeded in the difference internal product  installation guides",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-2.1","Does The information system separate user functionality (including user interface services) from information system management functionality?","Yes","Separation is done via user rights. Only users with Administrator rights are allowed to access the system admin fucntions.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-8.1","Does the application/system protect the integrity of transmitted information? If yes, how is this achieved? ","No","Data integrity is achieved via several methods:
1. SQL data type integrity
2. Key information uniqueness checks (example, can have identical medical record numbers)
3. Data entry validation (when applicable, for example UI). Ex: only allow numeric entries when the field is numeric.
4. Enforce valid data types and format when performing data exchange to modules requiring strict data entry formats.
No evidence can be submitted as these are integrated to the application code.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-8.2","Does the application/system employ cryptographic mechanisms to recognize changes to information during transmission (such as hashing algorithms)?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-10.1","Does the information system terminate network connection associated with a communication session at the end of the session or after no longer than 30 minutes of inactivity?","No","The system was designed to be a 24x7 monitoring system",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-13.1","Does the information system use cryptographic protections? If yes, detail the encryption algorithm and strength in the comment (AES, 3DES, etc.)","Yes","The system has an option to encrypt data in trasit using https web service communication encryption. The Encryption used is AES256.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-15.1","Does the information system support the use of collaborative computing devices (e.g., networked white boards, cameras, microphones)?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-15.2","Is remote activation prohibited?","","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-15.3","Does the device indicate to the user that it is actively in use? (E.g., activated microphone or camera has an illuminated indicator light.)","","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-20.1","Does the information system provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries?","Partial","System capture audit for the following:
- Failed logon attempts
- Successful logins are captured with the screen access logs
- Any documentation/entry with history and user id
- Significant computer system events, such as configuration updates and system crashes
- Security policy or profile changes
- Actions taken by computer operators, system administrators or system Security officers

hostname or MAC (configurable) addresses are captured with all audit entries.
",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-21.1","Does the information system request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources?","No","System is assumed to be used inside the hospital network.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-23.1","Does the information system protect the authenticity of communication sessions?","No","Comprehensive authentication of communication services is in progress for 2019 maintenance release",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SC-28.1","Does the organization support the capability to use cryptographic mechanisms to protect information at rest?","Yes","Only with SQL TDE. See statement in our official system requirements. 6-14.","LAB01124_r12 PeriWatch Surveillance - System Requirements.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SI-1.1","Do you have formally documented policies and procedures for System and Information Integrity? If yes, please attach.","Yes","Embedded within these policies.","HIPAA-WI-005 - Workforce Security and Information Access rev 01.00.pdf; HIPAA-WI-006 - Technical and Infrastructure Security rev 01.01.pdf; HIPAA-WI-004 - Administration and Management rev 01.02.pdf; Administration and Management.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SI-2.1","Are information system flaws identified, reported, and corrected? (I.e., are vulnerability scans performed and addressed?)","Yes","Using the Veracode vulnerability scanning platform with every release of the system.","SummaryReport_PeriWatch_Platform_3_Mar_2022.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SI-2.2","Are software and firmware updates tested for effectiveness and potential side effects before installation?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","SI-2.3","Is flaw remediation incorporated into the organizational configuration management process?","Yes","",""
